Plan Name,Slug,Cost USD,Retail USD,Retail USD,Direct Link,Shop Link
"Asia (7 areas) 10GB 30Days",AS-7_10_30,12.20,15.53,15.53,"https://asim.esimqr.link/pay/usd/AS-7_10_30","https://asim.esimqr.link/?slug=AS-7_10_30"
"Asia (7 areas) 20GB 30Days",AS-7_20_30,20.00,24.71,24.71,"https://asim.esimqr.link/pay/usd/AS-7_20_30","https://asim.esimqr.link/?slug=AS-7_20_30"
"Asia (7 areas) 50GB 180Days",AS-7_50_180,45.00,54.12,54.12,"https://asim.esimqr.link/pay/usd/AS-7_50_180","https://asim.esimqr.link/?slug=AS-7_50_180"
"North America 500MB/Day",NA-3_0.5_Daily,1.15,2.53,2.53,"https://asim.esimqr.link/pay/usd/NA-3_0.5_Daily","https://asim.esimqr.link/?slug=NA-3_0.5_Daily"
"North America 1GB/Day",NA-3_1_Daily,2.20,3.77,3.77,"https://asim.esimqr.link/pay/usd/NA-3_1_Daily","https://asim.esimqr.link/?slug=NA-3_1_Daily"
"North America 1GB 7Days",NA-3_1_7,2.30,3.89,3.89,"https://asim.esimqr.link/pay/usd/NA-3_1_7","https://asim.esimqr.link/?slug=NA-3_1_7"
"North America 1GB 30Days",NA-3_1_30,2.50,4.12,4.12,"https://asim.esimqr.link/pay/usd/NA-3_1_30","https://asim.esimqr.link/?slug=NA-3_1_30"
"North America 1.5GB/Day",NA-3_1.5_Daily,3.20,4.95,4.95,"https://asim.esimqr.link/pay/usd/NA-3_1.5_Daily","https://asim.esimqr.link/?slug=NA-3_1.5_Daily"
"North America 2GB/Day",NA-3_2_Daily,4.30,6.24,6.24,"https://asim.esimqr.link/pay/usd/NA-3_2_Daily","https://asim.esimqr.link/?slug=NA-3_2_Daily"
"North America 3GB/Day",NA-3_3_Daily,5.60,7.77,7.77,"https://asim.esimqr.link/pay/usd/NA-3_3_Daily","https://asim.esimqr.link/?slug=NA-3_3_Daily"
"North America 3GB 15Days",NA-3_3_15,5.80,8.00,8.00,"https://asim.esimqr.link/pay/usd/NA-3_3_15","https://asim.esimqr.link/?slug=NA-3_3_15"
"North America 3GB 30Days",NA-3_3_30,5.90,8.12,8.12,"https://asim.esimqr.link/pay/usd/NA-3_3_30","https://asim.esimqr.link/?slug=NA-3_3_30"
"North America 5GB/Day",NA-3_5_Daily,8.70,11.42,11.42,"https://asim.esimqr.link/pay/usd/NA-3_5_Daily","https://asim.esimqr.link/?slug=NA-3_5_Daily"
"North America 5GB 30Days",NA-3_5_30,8.80,11.53,11.53,"https://asim.esimqr.link/pay/usd/NA-3_5_30","https://asim.esimqr.link/?slug=NA-3_5_30"
"North America 10GB/Day",NA-3_10_Daily,15.10,18.95,18.95,"https://asim.esimqr.link/pay/usd/NA-3_10_Daily","https://asim.esimqr.link/?slug=NA-3_10_Daily"
